quote,author
I wanna be your number one.,"Tyler, the Creator"
You make my earth quake.,"Tyler, the Creator"
"Starting over can be challenging, but also it can be a great opportunity to do things differently.",Catherine Pulsifer
Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,Steve Maraboli
"Just when the caterpillar thought the world was over, it became a butterfly.",Chuang Tzu
Even the greatest was once a beginner. Don’t be afraid to take that first step.,Muhammad Ali
"Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.",Roy T. Bennett
"Tough times never last, but tough people do!",Robert H. Schuller
"Beginnings are usually scary and endings are usually sad, but it’s everything in between that makes it all worth living.",Bob Marley
"Instead of letting your hardships and failures discourage or exhaust you, let them inspire you.",Michelle Obama
The only way out of the labyrinth of suffering is to forgive.,John Green
Girls are capable of doing everything men are capable of doing. Sometimes they have more imagination than men.,Katherine Johnson
"Like what you do, and then you will do your best.",Katherine Johnson
I like to learn. That’s an art and a science.,Katherine Johnson
Math. It's just there ... you're either right or you're wrong. That's what I like about it.,Katherine Johnson
Everything is physics and math.,Katherine Johnson
You lose your curiosity when you stop learning.,Katherine Johnson
"If you attack the problem right, you'll get the answer.",Katherine Johnson
"Once you took the first step, anything was possible.",Katherine Johnson
Try again. Fail again. Fail better.,Samuel Beckett
When things go wrong don't go with them.,Elvis Presley
"Once you choose hope, anything's possible.",Christopher Reeve
Difficult roads always lead to beautiful destinations.,Zig Ziglar
My message is really that racism has no place in the hearts and minds of our children.,Ruby Bridges
"We have tolerance, respect, and equality in our written laws but not in the hearts of some of our people.",Ruby Bridges
I was the first black child to desegregate the all-white William Frantz Elementary School in Louisiana in 1960.,Ruby Bridges
None of our kids come into the world knowing anything about disliking one another.,Ruby Bridges
"I like to share my story with children, and they are amazed by the story.",Ruby Bridges
You cannot look at a person and judge him or her by the color of their skin.,Ruby Bridges
"Evil looks like you and I. I know what evil looks like, and I know that it comes in all shades and colors.",Ruby Bridges
"Kids come into the world with clean hearts, fresh starts.",Ruby Bridges
"When it comes to love, never be reckless with someone else’s heart.",Ruby Bridges
Love is Love. Better to Love than Hate!!!,Ruby Bridges
Bravery knows no age or gender.,Ruby Bridges
I never lose. I either win or learn.,Nelson Mandela
Many of life’s failures are people who did not realize how close they were to success when they gave up.,Thomas A. Edison
We are all here for some special reason. Stop being a prisoner of your past. Become the architect of your future.,Robin Sharma
Constant effort and frequent mistakes are the stepping stones to genius.,Elbert Hubbard
"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.",Roy T. Bennett
"Your circumstances don’t define you, your decisions do. So keep your head up and keep climbing.",Tavi Castro
"Set your goals high, and don't stop till you get there.",Bo Jackson
You can’t climb uphill by thinking downhill thoughts.,Zig Ziglar
All chaos is divine intervention.,Bert McCoy
You have to make room for the things that God has in store. Be patient as you grow through the process. Trust Him.,Germany Kent
"Smile, things are working out. You may not see it now, but just know God is directing you to a much greater happiness.",Germany Kent
Anything under God’s control is never out of control.,Charles R. Swindoll
"God has control over everything, and obviously, everything to everyone is God-given.",Troy Polamalu
No matter what you’re going through there’s no pit so deep that God can’t reach in and get you out.,Joyce Meyer
The circumstances we ask God to CHANGE are often the circumstances God is using to CHANGE US.,Mark Batterson
"The more we understand God’s sovereignty, the more our prayers will be filled with thanksgiving.",R.C. Sproul
We may not see it now but God is in control and has a reason for everything.,William Hemsworth
"No matter how tough the situation may be, trust God. He is trustworthy. He can still turn your life around.",Gift Gugu Mona
I am not satisfied in making money for myself. I endeavor to provide employment for hundreds of the women of my race.,Madam C.J. Walker
Perseverance is my motto!,Madam C.J. Walker
"Love’s language is imprecise, fits more like mittens than gloves.",Madam C.J. Walker
People are ugly not in their face but in their thoughts.,Madam C.J. Walker
Hair is power. You can’t imagine what it is like to lose it.,Madam C.J. Walker
"Mastering others is strength, mastering yourself is true power.",Lao Tzu
A truly strong person does not need the approval of others any more than a lion needs the approval of sheep.,Vernon Howard
"Scar tissue is stronger than regular tissue. Realize the strength, move on.",Henry Rollins
Our strength grows out of our weaknesses.,Ralph Waldo Emerson
Difficult times produce strong men and women. Keep on your struggle to achieve your dreams!,Avijeet Das
Stay strong. Stand up. Have a voice.,Shawn Johnson
"Don’t hide your scars, they make you who you are.",Frank Sinatra
Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi
You were given this life because you are strong enough to live it.,Robin Sharma
To do a dull thing with style - now that's what I call art.,Charles Bukowski
"The poem has some value, believe me. It keeps you from going totally mad.",Charles Bukowski
The cat is the beautiful devil.,Charles Bukowski
People don't need love. What they need is success in one form or another. It can be love but it needn't be.,Charles Bukowski
Dogs and angels are not very far apart.,Charles Bukowski
Goodness can be found sometimes in the middle of hell.,Charles Bukowski
Justice is everywhere and it's working.,Charles Bukowski
Let' em learn or let' em die.,Charles Bukowski
Love it or leave it.,Charles Bukowski
The whole world is caught in her glance and at last the universe is magnificent.,Charles Bukowski
People lack originality.,Charles Bukowski
"She's mad, but she's magic. There's no lie in her fire.",Charles Bukowski
"Let from this month onwards your days become more happier, fulfilling, purposeful, satisfying & joyful.",Rajesh Goyal
